"country","incomeperperson.x","internetuserate.x","urbanrate.x","Population..2020.","Yearly.Change","Net.Change","Density..P.Km².","Land.Area..Km².","Migrants..net.","Fert..Rate","Med..Age","Urban.Pop..","World.Share","incomeperperson.y","internetuserate.y","urbanrate.y","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","incomeperperson","internetuserate","urbanrate","Country.Code","Year","Value"
"Afghanistan",NA,3.654121623,24.04,39074280,"2.33 %",886592,60,652860,-62920,"4.6","18","25 %","0.50 %",NA,3.654121623,24.04,154,3.203,0.35,0.517,0.361,0,0.158,0.025,NA,3.654121623,24.04,"AFG",2016,19469022207.6852
"Albania",1914.996551,44.98994696,46.72,2877239,"-0.11 %",-3120,105,27400,-14000,"1.6","36","63 %","0.04 %",1914.996551,44.98994696,46.72,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,1914.996551,44.98994696,46.72,"ALB",2016,11863865978.0942
"Algeria",2231.993335,12.50007331,65.22,43984569,"1.85 %",797990,18,2381740,-10000,"3.1","29","73 %","0.56 %",2231.993335,12.50007331,65.22,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2231.993335,12.50007331,65.22,"DZA",2016,159049096745.249
"Argentina",10749.41924,36.00033495,92,45267449,"0.93 %",415097,17,2736690,4800,"2.3","32","93 %","0.58 %",10749.41924,36.00033495,92,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,10749.41924,36.00033495,92,"ARG",2016,545476103427.247
"Armenia",1326.741757,44.00102458,63.86,2964219,"0.19 %",5512,104,28470,-4998,"1.8","35","63 %","0.04 %",1326.741757,44.00102458,63.86,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,1326.741757,44.00102458,63.86,"ARM",2016,10572298341.5618
"Australia",25249.98606,75.8956538,88.74,25550683,"1.18 %",296686,3,7682300,158246,"1.8","38","86 %","0.33 %",25249.98606,75.8956538,88.74,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,25249.98606,75.8956538,88.74,"AUS",2016,1204616439828.41
"Austria",26692.98411,72.73157554,67.16,9015361,"0.57 %",51296,109,82409,65000,"1.5","43","57 %","0.12 %",26692.98411,72.73157554,67.16,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,26692.98411,72.73157554,67.16,"AUT",2016,390799991147.468
"Azerbaijan",2344.896916,46.67970157,51.92,10154978,"0.91 %",91459,123,82658,1200,"2.1","32","56 %","0.13 %",2344.896916,46.67970157,51.92,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2344.896916,46.67970157,51.92,"AZE",2016,37847715736.0406
"Bahrain",12505.21254,54.99280903,88.52,1711057,"3.68 %",60403,2239,760,47800,"2.0","32","89 %","0.02 %",12505.21254,54.99280903,88.52,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,12505.21254,54.99280903,88.52,"BHR",2016,32179069148.9362
"Bangladesh",558.0628766,3.70000326,27.14,164972348,"1.01 %",1643222,1265,130170,-369501,"2.1","28","39 %","2.11 %",558.0628766,3.70000326,27.14,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,558.0628766,3.70000326,27.14,"BGD",2016,221415162445.648
